Year_x,Laureate_Id_x,Firstname,Lastname,Category_x,Prize_Share_x,Motivation_x,Year_y,Laureate_Id_y,Category_y,Prize_Share_y,Motivation_y
1901,1,Wilhelm Conrad,Röntgen,physics,1,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",1901,1,physics,1,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him"""
1901,293,Emil,von Behring,medicine,1,"""for his work on serum therapy especially its application against diphtheria by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths""",1901,293,medicine,1,"""for his work on serum therapy especially its application against diphtheria by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths"""
1901,462,Henry,Dunant,peace,2,"""for his humanitarian efforts to help wounded soldiers and create international understanding""",1901,462,peace,2,"""for his humanitarian efforts to help wounded soldiers and create international understanding"""
1901,463,Frédéric,Passy,peace,2,"""for his lifelong work for international peace conferences diplomacy and arbitration""",1901,463,peace,2,"""for his lifelong work for international peace conferences diplomacy and arbitration"""
1901,569,Sully,Prudhomme,literature,1,"""in special recognition of his poetic composition which gives evidence of lofty idealism artistic perfection and a rare combination of the qualities of both heart and intellect""",1901,569,literature,1,"""in special recognition of his poetic composition which gives evidence of lofty idealism artistic perfection and a rare combination of the qualities of both heart and intellect"""
1901,160,Jacobus H.,van 't Hoff,chemistry,1,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",1901,160,chemistry,1,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions"""
1902,161,Emil,Fischer,chemistry,1,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""",1902,161,chemistry,1,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses"""
1902,571,Theodor,Mommsen,literature,1,"""the greatest living master of the art of historical writing with special reference to his monumental work <I>A history of Rome</I>""",1902,571,literature,1,"""the greatest living master of the art of historical writing with special reference to his monumental work <I>A history of Rome</I>"""
1902,465,Albert,Gobat,peace,2,"""for his eminently practical administration of the Inter-Parliamentary Union""",1902,465,peace,2,"""for his eminently practical administration of the Inter-Parliamentary Union"""
1902,464,Élie,Ducommun,peace,2,"""for his untiring and skilful directorship of the Bern Peace Bureau""",1902,464,peace,2,"""for his untiring and skilful directorship of the Bern Peace Bureau"""
1902,3,Pieter,Zeeman,physics,2,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",1902,3,physics,2,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena"""
1902,294,Ronald,Ross,medicine,1,"""for his work on malaria by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it""",1902,294,medicine,1,"""for his work on malaria by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it"""
1902,2,Hendrik A.,Lorentz,physics,2,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",1902,2,physics,2,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena"""
1903,5,Pierre,Curie,physics,4,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",1903,5,physics,4,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel"""
1903,466,Randal,Cremer,peace,1,"""for his longstanding and devoted effort in favour of the ideas of peace and arbitration""",1903,466,peace,1,"""for his longstanding and devoted effort in favour of the ideas of peace and arbitration"""
