label,Text
0,"['recognition', 'extraordinary', 'services', 'rendered', 'discovery', 'remarkable', 'rays', 'subsequently', 'named']"
1,"['work', 'serum', 'therapy', 'especially', 'application', 'diphtheria', 'opened', 'new', 'road', 'domain', 'medical', 'science', 'thereby', 'placed', 'hands', 'physician', 'victorious', 'weapon', 'illness', 'deaths']"
2,"['humanitarian', 'efforts', 'help', 'wounded', 'soldiers', 'create', 'international', 'understanding']"
2,"['lifelong', 'work', 'international', 'peace', 'conferences', 'diplomacy', 'arbitration']"
3,"['special', 'recognition', 'poetic', 'composition', 'gives', 'evidence', 'lofty', 'idealism', 'artistic', 'perfection', 'rare', 'combination', 'qualities', 'heart', 'intellect']"
14,"['recognition', 'extraordinary', 'services', 'rendered', 'discovery', 'laws', 'chemical', 'dynamics', 'osmotic', 'pressure', 'solutions']"
14,"['recognition', 'extraordinary', 'services', 'rendered', 'work', 'sugar', 'purine', 'syntheses']"
3,"['greatest', 'living', 'master', 'art', 'historical', 'writing', 'special', 'reference', 'monumental', 'work', 'IA', 'history', 'RomeI']"
2,"['eminently', 'practical', 'administration', 'InterParliamentary', 'Union']"
2,"['untiring', 'skilful', 'directorship', 'Bern', 'Peace', 'Bureau']"
0,"['recognition', 'extraordinary', 'service', 'rendered', 'researches', 'influence', 'magnetism', 'upon', 'radiation', 'phenomena']"
1,"['work', 'malaria', 'shown', 'enters', 'organism', 'thereby', 'laid', 'foundation', 'successful', 'research', 'disease', 'methods', 'combating']"
0,"['recognition', 'extraordinary', 'service', 'rendered', 'researches', 'influence', 'magnetism', 'upon', 'radiation', 'phenomena']"
0,"['recognition', 'extraordinary', 'services', 'rendered', 'joint', 'researches', 'radiation', 'phenomena', 'discovered', 'Professor', 'Henri', 'Becquerel']"
2,"['longstanding', 'devoted', 'effort', 'favour', 'ideas', 'peace', 'arbitration']"
0,"['recognition', 'extraordinary', 'services', 'rendered', 'discovery', 'spontaneous', 'radioactivity']"
0,"['recognition', 'extraordinary', 'services', 'rendered', 'joint', 'researches', 'radiation', 'phenomena', 'discovered', 'Professor', 'Henri', 'Becquerel']"
0,"['recognition', 'extraordinary', 'services', 'rendered', 'joint', 'researches', 'radiation', 'phenomena', 'discovered', 'Professor', 'Henri', 'Becquerel']"
1,"['recognition', 'contribution', 'treatment', 'diseases', 'especially', 'lupus', 'vulgaris', 'concentrated', 'light', 'radiation', 'whereby', 'opened', 'new', 'avenue', 'medical', 'science']"
3,"['tribute', 'noble', 'magnificent', 'versatile', 'poetry', 'always', 'distinguished', 'freshness', 'inspiration', 'rare', 'purity', 'spirit']"
14,"['recognition', 'extraordinary', 'services', 'rendered', 'advancement', 'chemistry', 'electrolytic', 'theory', 'dissociation']"
3,"['recognition', 'numerous', 'brilliant', 'compositions', 'individual', 'original', 'manner', 'revived', 'great', 'traditions', 'Spanish', 'drama']"
0,"['investigations', 'densities', 'important', 'gases', 'discovery', 'argon', 'connection', 'studies']"
2,"['striving', 'public', 'law', 'develop', 'peaceful', 'ties', 'nations', 'make', 'laws', 'war', 'humane']"
